Rank,City,State,Population.2017,Census.2010,Change,Land.Area.2016.sqmi,Land.Area.2016.km2,Population.Density.2016.sqmi,Population.Density.2016.km2,Location.Lon,Location.Lat,Climate.URL,key,city.x,state.x,high.jan,high.feb,high.mar,high.apr,high.may,high.jun,high.jul,high.aug,high.sep,high.oct,high.nov,high.dec,low.jan,low.feb,low.mar,low.apr,low.may,low.jun,low.jul,low.aug,low.sep,low.oct,low.nov,low.dec,avg.precip.jan,avg.precip.feb,avg.precip.mar,avg.precip.apr,avg.precip.may,avg.precip.jun,avg.precip.jul,avg.precip.aug,avg.precip.sep,avg.precip.oct,avg.precip.nov,avg.precip.dec,days.precip.jan,days.precip.feb,days.precip.mar,days.precip.apr,days.precip.may,days.precip.jun,days.precip.jul,days.precip.aug,days.precip.sep,days.precip.oct,days.precip.nov,days.precip.dec,hours.sun.jan,hours.sun.feb,hours.sun.mar,hours.sun.apr,hours.sun.may,hours.sun.jun,hours.sun.jul,hours.sun.aug,hours.sun.sep,hours.sun.oct,hours.sun.nov,hours.sun.dec,snow.jan,snow.feb,snow.mar,snow.apr,snow.may,snow.jun,snow.jul,snow.aug,snow.sep,snow.oct,snow.nov,snow.dec,city.y,state.y,annual.high,annual.low,avg.tmp,avg.annual.precip,annual.days.precip,annual.hours.sunshine,avg.snowfall,State.Abbr,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families
183,Mesquite,Texas,143949,139824,0.0295,47.2,122.2,3045,1176,32.7629N,96.5888W,https://www.usclimatedata.com/climate/dallas/texas/united-states/ustx1575,"Dallas, Texas",Dallas,Texas,57,61,69,77,84,91,95,96,89,80,68,58,30,35,42,51,60,67,71,71,64,52,43,32,2.32,2.99,3.7,3.43,4.61,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.13,3.35,4.88,3.31,2.8,NA,NA,NA,NA,NA,NA,Dallas,Texas,77.1,51.5,64.3,40.97,NA,NA,NA,TX,36,37,0,32.3,0.9,0.52,0.51
184,Syracuse,New York,143396,145170,-0.0122,25,64.7,5735,2214,43.0410N,76.1436W,https://www.usclimatedata.com/climate/syracuse/new-york/united-states/usny2737,"Syracuse, New York",Syracuse,New York,32,35,42,57,69,78,82,80,73,60,49,37,17,18,26,37,47,58,63,61,54,43,34,23,3.15,3.54,3.27,3.23,3.23,4.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,3.46,3.98,3.19,3.54,3.74,NA,NA,NA,NA,NA,NA,Syracuse,New York,57.8,40.1,48.95,41.54,NA,NA,NA,NY,61,46,44,30.6,0.9,0.34,0.46
185,Mcallen,Texas,142696,129877,0.0987,58.4,151.3,2435,940,26.2322N,98.2464W,https://www.usclimatedata.com/climate/mcallen/texas/united-states/ustx0854,"Mcallen, Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX,0,0,0,32.4,1,0.58,0.5
186,Pasadena,California,142647,137122,0.0403,23,59.6,6176,2385,34.1606N,118.1396W,https://www.usclimatedata.com/climate/pasadena/california/united-states/usca0840,"Pasadena, California",Pasadena,California,68,70,72,76,79,84,89,91,89,82,74,67,48,49,50,53,57,60,64,65,63,58,51,47,4.53,5.12,3.39,1.38,0.39,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.12,0.39,1.02,1.5,3.15,NA,NA,NA,NA,NA,NA,Pasadena,California,78.4,55.4,66.9,21.27,NA,NA,NA,CA,66,66,0,37.7,1,0.49,0.39
187,Orange,California,140560,136416,0.0304,25.4,65.8,5532,2136,33.7870N,117.8613W,https://www.usclimatedata.com/climate/los-angeles/california/united-states/usca1339,"Los Angeles, California",Los Angeles,California,67,67,67,69,70,73,77,79,78,75,71,67,51,51,51,53,56,58,62,62,62,59,55,51,3.98,5.08,2.83,0.98,0.31,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.24,0.91,1.38,2.76,NA,NA,NA,NA,NA,NA,Los Angeles,California,71.7,55.9,63.8,18.67,NA,NA,NA,CA,51,54,34,35.1,1,0.52,0.45
188,Fullerton,California,140392,135161,0.0387,22.4,58,6282,2425,33.8857N,117.9280W,https://www.usclimatedata.com/climate/fullerton/california/united-states/usca1767,"Fullerton, California",Fullerton,California,68,68,70,73,75,78,83,85,84,78,72,67,45,48,50,52,58,61,65,65,63,57,50,45,3.03,3.27,2.17,0.87,0.24,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.24,0.75,1.1,2.05,NA,NA,NA,NA,NA,NA,Fullerton,California,75.1,54.9,65,13.88,NA,NA,NA,CA,54,46,34,34.6,1,0.52,0.44
189,Dayton,Ohio,140371,141527,-0.0082,55.7,144.3,2522,974,39.7774N,84.1996W,https://www.usclimatedata.com/climate/dayton/ohio/united-states/usoh0245,"Dayton, Ohio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OH,46,44,0,33.3,0.9,0.36,0.46
190,Miramar,Florida,140328,122041,0.1498,29.4,76.1,4709,1818,25.9770N,80.3358W,https://www.usclimatedata.com/climate/hollywood/florida/united-states/usfl0772,"Hollywood, Florida",Hollywood,Florida,76,77,79,81,84,88,89,90,88,85,81,77,58,60,63,67,71,75,76,76,76,73,67,61,2.68,3.35,3.74,3.19,5.35,9.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,8.23,9.13,6.34,3.43,2.44,NA,NA,NA,NA,NA,NA,Hollywood,Florida,82.9,68.6,75.75,64.37,NA,NA,NA,FL,30,42,24,35.9,0.9,0.48,0.51
191,Olathe,Kansas,137472,125872,0.0922,60.9,157.7,2225,859,38.8843N,94.8195W,https://www.usclimatedata.com/climate/olathe/kansas/united-states/usks0435,"Olathe, Kansas",Olathe,Kansas,38,45,56,67,76,84,89,88,80,69,54,42,20,25,35,45,55,64,69,67,58,47,35,24,1.26,1.26,2.76,3.78,5.39,5.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02,3.54,4.69,3.46,2.95,1.77,NA,NA,NA,NA,NA,NA,Olathe,Kansas,65.7,45.3,55.5,40.12,NA,NA,NA,KS,28,47,10,34.4,1,0.62,0.55
192,Thornton,Colorado,136978,118772,0.1533,35.7,92.5,3829,1478,39.9194N,104.9428W,https://www.usclimatedata.com/climate/denver/colorado/united-states/usco0105,"Denver, Colorado",Denver,Colorado,44,46,54,61,71,81,88,86,77,65,52,43,17,20,26,34,44,53,59,57,47,36,25,17,0.47,0.47,1.26,1.73,2.28,1.69,2.05,2.05,1.06,1.06,0.83,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,11,7,1,0,0,0,1,4,9,9,Denver,Colorado,64,36.3,50.15,15.54,NA,NA,NA,CO,32,50,24,33,1,0.57,0.54
193,Waco,Texas,136436,124805,0.0932,89,230.5,1510,580,31.5601N,97.1860W,https://www.usclimatedata.com/climate/waco/texas/united-states/ustx1413,"Waco, Texas",Waco,Texas,59,62,69,77,84,91,95,96,90,80,69,60,35,39,46,54,64,71,74,74,67,56,46,37,2.24,2.87,3.5,2.56,4.57,3.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93,2.13,3.19,3.94,3.03,2.8,NA,NA,NA,NA,NA,NA,Waco,Texas,77.7,55.3,66.5,36.38,NA,NA,NA,TX,34,38,0,28.5,1,0.45,0.48
194,Murfreesboro,Tennessee,136372,108755,0.2539,55.9,144.8,2360,910,35.8522N,86.4160W,https://www.usclimatedata.com/climate/murfreesboro/tennessee/united-states/ustn0356,"Murfreesboro, Tennessee",Murfreesboro,Tennessee,48,53,62,71,79,87,90,90,84,73,62,51,25,28,35,44,53,62,67,65,57,45,37,29,4.33,4.29,4.84,4.09,5.47,4.76,4.8,3.62,4.02,3.35,4.57,5.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,Murfreesboro,Tennessee,70.8,45.6,58.2,53.42,NA,NA,NA,TN,24,37,0,30.3,1,0.49,0.51
195,Denton,Texas,136268,113383,0.2018,93.4,241.9,1433,553,33.2166N,97.1414W,https://www.usclimatedata.com/climate/denton/texas/united-states/ustx0353,"Denton, Texas",Denton,Texas,56,59,67,76,83,91,95,96,88,78,66,57,33,36,44,52,63,70,74,73,65,55,44,35,2.05,2.8,3.23,3.27,5.12,3.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2.13,3.07,4.96,2.91,2.56,NA,NA,NA,NA,NA,NA,Denton,Texas,76,53.7,64.85,38.08,NA,NA,NA,TX,33,39,0,28.5,0.9,0.42,0.47
196,West Valley City,Utah,136170,129480,0.0517,35.5,91.9,3847,1485,40.6885N,112.0118W,https://www.usclimatedata.com/climate/salt-lake-city/utah/united-states/usut0225,"Salt Lake City, Utah",Salt Lake City,Utah,38,44,53,61,71,82,90,89,78,65,50,40,26,31,38,43,52,61,69,67,58,46,36,27,1.46,1.5,2.2,2.32,2.09,1.14,0.59,0.71,1.54,1.65,1.77,1.61,10,9,10,9,8,5,4,6,5,6,7,9,137,155,227,269,329,358,377,346,306,249,171,135,11,10,6,3,0,0,0,0,0,0,7,10,Salt Lake City,Utah,63.4,46.2,54.8,18.58,NA,3059,NA,UT,36,40,36,30.4,1,0.54,0.55
197,Midland,Texas,136089,111147,0.2244,74.4,192.7,1809,698,32.0246N,102.1135W,https://www.usclimatedata.com/climate/midland/texas/united-states/ustx0888,"Midland, Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX,41,40,0,31.9,1,0.58,0.47
198,Carrollton,Texas,135710,119097,0.1395,36.3,94,3674,1419,32.9884N,96.8998W,https://www.usclimatedata.com/climate/dallas/texas/united-states/ustx1575,"Dallas, Texas",Dallas,Texas,57,61,69,77,84,91,95,96,89,80,68,58,30,35,42,51,60,67,71,71,64,52,43,32,2.32,2.99,3.7,3.43,4.61,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.13,3.35,4.88,3.31,2.8,NA,NA,NA,NA,NA,NA,Dallas,Texas,77.1,51.5,64.3,40.97,NA,NA,NA,TX,34,36,21,36.5,1,0.59,0.49
199,Roseville,California,135329,118788,0.1392,43,111.4,3085,1191,38.7690N,121.3189W,https://www.usclimatedata.com/climate/los-angeles/california/united-states/usca1339,"Los Angeles, California",Los Angeles,California,67,67,67,69,70,73,77,79,78,75,71,67,51,51,51,53,56,58,62,62,62,59,55,51,3.98,5.08,2.83,0.98,0.31,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.24,0.91,1.38,2.76,NA,NA,NA,NA,NA,NA,Los Angeles,California,71.7,55.9,63.8,18.67,NA,NA,NA,CA,36,59,20,38.5,0.9,0.6,0.48
200,Warren,Michigan,135022,134056,0.0072,34.4,89.1,3928,1517,42.4929N,83.0250W,https://www.usclimatedata.com/climate/detroit/michigan/united-states/usmi0229,"Detroit, Michigan",Detroit,Michigan,31,32,42,55,67,77,82,80,73,60,46,35,19,18,27,37,48,58,63,62,55,44,33,24,2.05,2.09,2.4,2.99,3.54,2.83,9,8,9,9,12,13,13,12,13,12,12,11,321,284,226,189,98,89,90,128,180,212,263,295,NA,NA,NA,NA,NA,NA,2.83,2.87,2.44,2.64,2.2,2.09,NA,NA,NA,NA,NA,NA,Detroit,Michigan,56.7,40.7,48.7,30.97,NA,2375,NA,MI,43,43,0,39.2,0.9,0.52,0.44
201,Charleston,South Carolina,134875,120083,0.1232,109,282.3,1233,476,32.8179N,79.9590W,https://www.usclimatedata.com/climate/charleston-afb/south-carolina/united-states/ussc0052,"Charleston Afb, South Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC,40,48,23,34,0.9,0.46,0.38
202,Hampton,Virginia,134669,137436,-0.0201,51.5,133.4,2629,1015,37.0480N,76.2971W,https://www.usclimatedata.com/climate/hampton/virginia/united-states/usva1366,"Hampton, Virginia",Hampton,Virginia,50,53,61,71,78,86,89,87,82,72,63,53,34,36,42,51,59,68,73,72,66,55,47,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hampton,Virginia,70.4,53.4,61.9,NA,NA,NA,NA,VA,33,40,27,35.6,0.9,0.48,0.41
203,Surprise,Arizona,134085,117517,0.141,107.9,279.5,1230,470,33.6706N,112.4527W,https://www.usclimatedata.com/climate/phoenix/arizona/united-states/usaz0166,"Phoenix, Arizona",Phoenix,Arizona,67,71,77,85,95,104,106,104,100,89,76,66,46,49,53,60,69,78,83,83,77,65,53,45,0.91,0.91,0.98,0.28,0.12,0.04,4,5,3,3,2,4,4,4,3,2,1,1,377,351,334,307,267,236,248,244,314,346,404,404,NA,NA,NA,NA,NA,NA,1.06,0.98,0.63,0.59,0.67,0.87,NA,NA,NA,NA,NA,NA,Phoenix,Arizona,86.7,63.4,75.05,8.04,NA,3832,NA,AZ,21,44,0,39.9,0.9,0.66,0.4
204,Columbia,South Carolina,133114,129272,0.0297,133.5,345.8,1006,388,34.0291N,80.8980W,https://www.usclimatedata.com/climate/charleston-afb/south-carolina/united-states/ussc0052,"Charleston Afb, South Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC,38,34,0,28.2,1.1,0.35,0.45
205,Coral Springs,Florida,133037,121096,0.0986,23.8,61.6,5465,2110,26.2707N,80.2593W,https://www.usclimatedata.com/climate/hollywood/florida/united-states/usfl0772,"Hollywood, Florida",Hollywood,Florida,76,77,79,81,84,88,89,90,88,85,81,77,58,60,63,67,71,75,76,76,76,73,67,61,2.68,3.35,3.74,3.19,5.35,9.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,8.23,9.13,6.34,3.43,2.44,NA,NA,NA,NA,NA,NA,Hollywood,Florida,82.9,68.6,75.75,64.37,NA,NA,NA,FL,38,44,29,36.4,0.9,0.52,0.52
206,Visalia,California,133010,124442,0.0689,37.5,97.1,3495,1349,36.3273N,119.3289W,https://www.usclimatedata.com/climate/visalia/california/united-states/usca1204,"Visalia, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,38,47,0,31.7,0.9,0.54,0.53
207,Sterling Heights,Michigan,132631,129699,0.0226,36.5,94.5,3628,1401,42.5812N,83.0303W,https://www.usclimatedata.com/climate/detroit/michigan/united-states/usmi0229,"Detroit, Michigan",Detroit,Michigan,31,32,42,55,67,77,82,80,73,60,46,35,19,18,27,37,48,58,63,62,55,44,33,24,2.05,2.09,2.4,2.99,3.54,2.83,9,8,9,9,12,13,13,12,13,12,12,11,321,284,226,189,98,89,90,128,180,212,263,295,NA,NA,NA,NA,NA,NA,2.83,2.87,2.44,2.64,2.2,2.09,NA,NA,NA,NA,NA,NA,Detroit,Michigan,56.7,40.7,48.7,30.97,NA,2375,NA,MI,32,37,0,41.1,1,0.6,0.38
208,Gainesville,Florida,132249,124354,0.0635,62.3,161.4,2112,815,29.6788N,82.3461W,https://www.usclimatedata.com/climate/gainesville/florida/united-states/usfl0163,"Gainesville, Florida",Gainesville,Florida,66,70,75,80,87,90,91,90,87,81,74,68,42,45,50,55,62,69,71,72,69,60,51,44,3.31,3.19,4.33,2.68,2.48,7.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.06,6.38,4.41,2.87,2.05,2.48,NA,NA,NA,NA,NA,NA,Gainesville,Florida,79.9,57.5,68.7,47.37,NA,NA,NA,FL,34,66,0,25.7,0.9,0.29,0.38
209,Cedar Rapids,Iowa,132228,126326,0.0467,70.8,183.4,1852,715,41.9670N,91.6778W,https://www.usclimatedata.com/climate/cedar-rapids/iowa/united-states/usia0138,"Cedar Rapids, Iowa",Cedar Rapids,Iowa,31,36,49,64,74,82,85,83,77,64,48,33,13,18,28,40,50,60,64,62,54,42,30,17,1.1,1.22,2.01,3.43,4.76,5.12,4.61,4.84,3.66,2.83,2.44,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,4,2,0,0,0,0,0,0,2,9,Cedar Rapids,Iowa,60.5,39.8,50.15,37.63,NA,NA,NA,IA,35,37,0,35.7,1,0.54,0.48
210,New Haven,Connecticut,131014,129779,0.0095,18.7,48.4,6948,2683,41.3108N,72.9250W,https://www.usclimatedata.com/climate/denver/colorado/united-states/usco0105,"Denver, Colorado",Denver,Colorado,44,46,54,61,71,81,88,86,77,65,52,43,17,20,26,34,44,53,59,57,47,36,25,17,0.47,0.47,1.26,1.73,2.28,1.69,2.05,2.05,1.06,1.06,0.83,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,11,7,1,0,0,0,1,4,9,9,Denver,Colorado,64,36.3,50.15,15.54,NA,NA,NA,CT,68,66,0,30.7,0.9,0.33,0.51
211,Stamford,Connecticut,130824,122643,0.0667,37.6,97.4,3434,1326,41.0799N,73.5460W,https://www.usclimatedata.com/climate/stamford/connecticut/united-states/usct0218,"Stamford, Connecticut",Stamford,Connecticut,39,42,51,63,73,81,86,84,76,65,54,43,20,22,29,39,48,57,62,61,54,42,34,25,4.06,3.39,4.72,4.76,4.69,4.61,4.09,4.17,4.88,4.8,4.53,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,5,1,0,0,0,0,0,0,1,6,Stamford,Connecticut,63.1,41.1,52.1,53.15,NA,NA,NA,CT,54,39,38,36.4,1,0.53,0.47
212,Elizabeth,New Jersey,130215,124969,0.042,12.3,31.9,10459,4038,40.6664N,74.1935W,https://www.usclimatedata.com/climate/elizabeth/new-jersey/united-states/usnj0647,"Elizabeth, New Jersey",Elizabeth,New Jersey,39,42,51,62,72,82,86,84,77,65,55,44,24,27,34,44,53,63,69,67,60,48,39,30,3.54,2.87,4.17,4.21,4.09,4.02,4.76,3.7,3.82,3.58,3.66,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,5,1,0,0,0,0,0,0,0,5,Elizabeth,New Jersey,63.3,46.5,54.9,46.24,NA,NA,NA,NJ,81,54,43,33.3,1,0.41,0.53
213,Concord,California,129783,122067,0.0632,30.5,79,4221,1630,37.9722N,122.0016W,https://www.usclimatedata.com/climate/san-francisco/california/united-states/usca0987,"San Francisco, California",San Francisco,California,57,60,62,63,64,66,67,68,70,69,63,57,46,47,49,49,51,53,54,55,55,54,50,46,4.49,4.45,3.27,1.46,0.71,0.16,1,1,1,4,7,10,11,11,10,6,4,2,300,272,267,243,189,156,165,182,251,281,314,330,NA,NA,NA,NA,NA,NA,0,0.08,0.2,1.1,3.15,4.57,NA,NA,NA,NA,NA,NA,San Francisco,California,63.8,50.8,57.3,23.64,NA,2950,NA,CA,45,48,30,37.7,1,0.55,0.45
214,Thousand Oaks,California,128995,126683,0.0183,55.2,143,2335,902,34.1933N,118.8742W,https://www.usclimatedata.com/climate/thousand-oaks/california/united-states/usca1549,"Thousand Oaks, California",Thousand Oaks,California,65,65,69,71,75,80,85,85,83,77,71,65,46,44,47,48,51,56,59,58,58,53,48,44,3.9,4.21,2.44,0.83,0.35,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.08,0.2,0.75,1.38,2.36,NA,NA,NA,NA,NA,NA,Thousand Oaks,California,74.3,51,62.65,16.62,NA,NA,NA,CA,33,26,0,42.8,1,0.6,0.43
215,Kent,Washington,128458,92411,0.3901,33.7,87.3,3784,1461,47.3880N,122.2127W,https://www.usclimatedata.com/climate/kent/washington/united-states/uswa0206,"Kent, Washington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WA,39,41,34,34,1,0.52,0.5
216,Santa Clara,California,127134,116468,0.0916,18.4,47.7,6845,2643,37.3646N,121.9679W,https://www.usclimatedata.com/climate/san-francisco/california/united-states/usca0987,"San Francisco, California",San Francisco,California,57,60,62,63,64,66,67,68,70,69,63,57,46,47,49,49,51,53,54,55,55,54,50,46,4.49,4.45,3.27,1.46,0.71,0.16,1,1,1,4,7,10,11,11,10,6,4,2,300,272,267,243,189,156,165,182,251,281,314,330,NA,NA,NA,NA,NA,NA,0,0.08,0.2,1.1,3.15,4.57,NA,NA,NA,NA,NA,NA,San Francisco,California,63.8,50.8,57.3,23.64,NA,2950,NA,CA,59,72,41,34.1,1.1,0.56,0.48
217,Simi Valley,California,126878,124237,0.0213,41.5,107.5,3044,1175,34.2669N,118.7485W,https://www.usclimatedata.com/climate/los-angeles/california/united-states/usca1339,"Los Angeles, California",Los Angeles,California,67,67,67,69,70,73,77,79,78,75,71,67,51,51,51,53,56,58,62,62,62,59,55,51,3.98,5.08,2.83,0.98,0.31,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.24,0.91,1.38,2.76,NA,NA,NA,NA,NA,NA,Los Angeles,California,71.7,55.9,63.8,18.67,NA,NA,NA,CA,39,44,0,40,1,0.59,0.43
218,Lafayette,Louisiana,126848,120623,0.0516,53.8,139.3,2372,916,30.2074N,92.0285W,https://www.usclimatedata.com/climate/lafayette/louisiana/united-states/usla0261,"Lafayette, Louisiana",Lafayette,Louisiana,62,65,72,79,86,91,92,93,89,81,72,64,43,46,52,59,67,73,75,75,70,60,51,44,5.67,4.45,3.78,3.94,4.76,7.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,4.61,4.72,5.24,4.33,5.59,NA,NA,NA,NA,NA,NA,Lafayette,Louisiana,78.8,59.6,69.2,60.48,NA,NA,NA,LA,42,45,0,34,1,0.45,0.45
219,Topeka,Kansas,126587,127473,-0.007,61.5,159.3,2062,796,39.0347N,95.6962W,https://www.usclimatedata.com/climate/topeka/kansas/united-states/usks0571,"Topeka, Kansas",Topeka,Kansas,40,45,56,67,76,85,89,89,80,68,55,42,20,24,33,44,54,64,68,66,56,45,33,22,0.87,1.34,2.48,3.54,4.92,5.39,3.82,4.25,3.66,3.03,1.85,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,0,0,0,0,0,0,0,1,5,Topeka,Kansas,66,44.1,55.05,36.49,NA,NA,NA,KS,34,52,21,36.9,0.9,0.52,0.45
