Rank,City,State,Population.2017,Census.2010,Change,Land.Area.2016.sqmi,Land.Area.2016.km2,Population.Density.2016.sqmi,Population.Density.2016.km2,Location.Lon,Location.Lat,Climate.URL,key,city.x,state.x,high.jan,high.feb,high.mar,high.apr,high.may,high.jun,high.jul,high.aug,high.sep,high.oct,high.nov,high.dec,low.jan,low.feb,low.mar,low.apr,low.may,low.jun,low.jul,low.aug,low.sep,low.oct,low.nov,low.dec,avg.precip.jan,avg.precip.feb,avg.precip.mar,avg.precip.apr,avg.precip.may,avg.precip.jun,avg.precip.jul,avg.precip.aug,avg.precip.sep,avg.precip.oct,avg.precip.nov,avg.precip.dec,days.precip.jan,days.precip.feb,days.precip.mar,days.precip.apr,days.precip.may,days.precip.jun,days.precip.jul,days.precip.aug,days.precip.sep,days.precip.oct,days.precip.nov,days.precip.dec,hours.sun.jan,hours.sun.feb,hours.sun.mar,hours.sun.apr,hours.sun.may,hours.sun.jun,hours.sun.jul,hours.sun.aug,hours.sun.sep,hours.sun.oct,hours.sun.nov,hours.sun.dec,snow.jan,snow.feb,snow.mar,snow.apr,snow.may,snow.jun,snow.jul,snow.aug,snow.sep,snow.oct,snow.nov,snow.dec,city.y,state.y,annual.high,annual.low,avg.tmp,avg.annual.precip,annual.days.precip,annual.hours.sunshine,avg.snowfall,State.Abbr,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families
160,Lancaster,California,160316,156633,0.0235,94.3,244.2,1698,656,34.6936N,118.1753W,https://www.usclimatedata.com/climate/lancaster/california/united-states/usca0591,"Lancaster, California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA,28,40,0,31.8,1,0.47,0.5
161,Alexandria,Virginia,160035,139966,0.1434,15,38.8,10387,4010,38.8201N,77.0841W,https://www.usclimatedata.com/climate/washington/district-of-columbia/united-states/usdc0001,"Washington, District Of Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VA,60,58,54,36.2,0.9,0.48,0.44
162,Salinas,California,157596,150441,0.0476,23.6,61.1,6662,2572,36.6902N,121.6337W,https://www.usclimatedata.com/climate/salinas/california/united-states/usca0971,"Salinas, California",Salinas,California,62,64,65,67,68,70,71,73,74,73,67,62,40,42,43,45,48,51,53,54,52,48,43,40,3.07,2.99,2.76,1.02,0.43,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.2,0.63,1.77,2.44,NA,NA,NA,NA,NA,NA,Salinas,California,68,46.6,57.3,15.47,NA,NA,NA,CA,53,50,31,30.1,1,0.48,0.56
163,Palmdale,California,157519,152750,0.0312,106,274.5,1484,573,34.5910N,118.1054W,https://www.usclimatedata.com/climate/palmdale/california/united-states/usca0829,"Palmdale, California",Palmdale,California,60,63,69,76,84,92,98,98,92,81,68,58,34,37,41,45,53,60,66,65,59,49,40,34,1.42,1.85,1.1,0.39,0.12,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.08,0.16,0.47,0.47,1.22,NA,NA,NA,NA,NA,NA,Palmdale,California,78.3,48.6,63.45,7.4,NA,NA,NA,CA,25,32,0,30.4,1,0.51,0.54
164,Lakewood,Colorado,154958,142980,0.0838,42.9,111.1,3599,1390,39.6989N,105.1176W,https://www.usclimatedata.com/climate/denver/colorado/united-states/usco0105,"Denver, Colorado",Denver,Colorado,44,46,54,61,71,81,88,86,77,65,52,43,17,20,26,34,44,53,59,57,47,36,25,17,0.47,0.47,1.26,1.73,2.28,1.69,2.05,2.05,1.06,1.06,0.83,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,11,7,1,0,0,0,1,4,9,9,Denver,Colorado,64,36.3,50.15,15.54,NA,NA,NA,CO,43,56,38,38.1,1,0.51,0.4
165,Springfield,Massachusetts,154758,153060,0.0111,31.9,82.6,4830,1860,42.1155N,72.5400W,https://www.usclimatedata.com/climate/boston/massachusetts/united-states/usma0046,"Boston, Massachusetts",Boston,Massachusetts,36,39,45,56,66,76,81,80,72,61,51,41,22,25,31,41,50,60,65,65,57,47,38,28,3.35,3.27,4.33,3.74,3.5,3.66,3.43,3.35,3.43,3.94,3.98,3.78,13,11,13,12,13,12,11,10,10,10,11,11,148,168,212,222,263,283,300,280,232,207,152,148,13,11,8,2,0,0,0,0,0,0,1,9,Boston,Massachusetts,58.7,44.1,51.4,43.76,NA,2615,NA,MA,59,44,40,32.6,0.9,0.38,0.49
166,Sunnyvale,California,153656,140081,0.0969,22,57,6944,2681,37.3858N,122.0263W,https://www.usclimatedata.com/climate/los-angeles/california/united-states/usca1339,"Los Angeles, California",Los Angeles,California,67,67,67,69,70,73,77,79,78,75,71,67,51,51,51,53,56,58,62,62,62,59,55,51,3.98,5.08,2.83,0.98,0.31,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.04,0.24,0.91,1.38,2.76,NA,NA,NA,NA,NA,NA,Los Angeles,California,71.7,55.9,63.8,18.67,NA,NA,NA,CA,55,71,41,35.4,1.1,0.63,0.5
167,Hollywood,Florida,153627,140768,0.0913,27.3,70.7,5568,2150,26.0310N,80.1646W,https://www.usclimatedata.com/climate/hollywood/florida/united-states/usfl0772,"Hollywood, Florida",Hollywood,Florida,76,77,79,81,84,88,89,90,88,85,81,77,58,60,63,67,71,75,76,76,76,73,67,61,2.68,3.35,3.74,3.19,5.35,9.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,8.23,9.13,6.34,3.43,2.44,NA,NA,NA,NA,NA,NA,Hollywood,Florida,82.9,68.6,75.75,64.37,NA,NA,NA,FL,55,54,34,42.6,1,0.49,0.41
168,Pasadena,Texas,153520,149043,0.03,43.5,112.7,3525,1361,29.6586N,95.1506W,https://www.usclimatedata.com/climate/houston/texas/united-states/ustx0617,"Houston, Texas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX,44,44,0,31.2,1,0.53,0.53
169,Clarksville,Tennessee,153205,132929,0.1525,98.3,254.6,1529,590,36.5664N,87.3452W,https://www.usclimatedata.com/climate/clarksville/tennessee/united-states/ustn0093,"Clarksville, Tennessee",Clarksville,Tennessee,46,51,62,72,79,87,90,90,83,72,61,49,27,31,38,47,56,65,69,68,60,47,38,30,3.98,4.09,4.45,4.45,5.71,4.33,4.25,2.95,3.5,3.82,4.53,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,0,0,0,0,0,0,Clarksville,Tennessee,70.2,48,59.1,50.98,NA,NA,NA,TN,18,24,0,29,1,0.56,0.54
170,Pomona,California,152939,149058,0.026,23,59.6,6630,2560,34.0585N,117.7611W,https://www.usclimatedata.com/climate/pomona/california/united-states/usca0889,"Pomona, California",Pomona,California,68,69,69,74,77,82,89,89,87,80,73,68,42,44,45,47,51,55,59,59,58,53,45,41,4.02,4.06,3.46,0.75,0.24,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.12,0.28,0.67,1.3,2.05,NA,NA,NA,NA,NA,NA,Pomona,California,77.1,49.9,63.5,16.99,NA,NA,NA,CA,52,45,35,31,1,0.45,0.49
171,Kansas City,Kansas,152938,145786,0.0491,124.8,323.2,1216,470,39.1225N,94.7418W,https://www.usclimatedata.com/climate/kansas-city/kansas/united-states/usks0298,"Kansas City, Kansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KS,32,25,22,33.3,1,0.48,0.49
172,Macon,Georgia,152663,91351,0.6712,249.3,645.7,612,236,32.8088N,83.6942W,https://www.usclimatedata.com/climate/macon/georgia/united-states/usga0346,"Macon, Georgia",Macon,Georgia,58,62,69,77,85,90,93,91,86,77,69,60,35,38,44,50,59,68,71,70,64,52,43,36,4.25,4.37,4.57,2.95,2.72,4.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.96,4.09,3.58,2.8,3.31,4.06,NA,NA,NA,NA,NA,NA,Macon,Georgia,76.4,52.5,64.45,45.72,NA,NA,NA,GA,31,28,0,0,0,0,0
