city,state,annual.high,annual.low,avg.tmp,avg.annual.precip,annual.days.precip,annual.hours.sunshine,avg.snowfall
Jackson,Mississippi,75.5,53.6,64.55,54.16,NA,NA,NA
Jacksonville,Florida,79.9,55.9,67.9,NA,NA,NA,NA
Jersey City,New Jersey,60.2,45.1,52.65,46.42,NA,NA,NA
Joliet,Illinois,59.8,41.1,50.45,36.82,NA,NA,NA
Kansas City,Missouri,66,47.4,56.7,39.06,NA,NA,NA
Killeen,Texas,77.7,53.8,65.75,32.83,NA,NA,NA
Knoxville,Tennessee,69.3,49.7,59.5,48.18,NA,NA,NA
Lafayette,Louisiana,78.8,59.6,69.2,60.48,NA,NA,NA
Lakeland,Florida,85.5,63,74.25,49.15,NA,NA,NA
Lake Saint Louis,Missouri,65.2,44.3,54.75,44.09,NA,NA,NA
Lansing,Michigan,57.3,39.1,48.2,31.73,NA,NA,NA
Laredo,Texas,85.1,63.2,74.15,20.15,NA,NA,NA
Las Cruces,New Mexico,77.7,47.3,62.5,9.76,NA,NA,NA
Las Vegas,Nevada,80,58.6,69.3,4.17,NA,3817,NA
Lexington,Kentucky,65.2,45.9,55.55,45.21,NA,NA,NA
Lincoln,Nebraska,63.1,39.9,51.5,28.94,NA,NA,NA
Little Rock,Arkansas,72.8,52.5,62.65,49.57,NA,3097,NA
Long Beach,California,74.2,55.4,64.8,12.25,NA,NA,NA
Los Angeles,California,71.7,55.9,63.8,18.67,NA,NA,NA
Louisville,Kentucky,67.8,48.6,58.2,44.89,NA,NA,NA
Lowell,Massachusetts,59.8,37,48.4,47.01,NA,NA,NA
Lubbock,Texas,74.3,47,60.65,19.18,NA,NA,NA
Macon,Georgia,76.4,52.5,64.45,45.72,NA,NA,NA
Madison,Wisconsin,55.8,36.8,46.3,34.44,NA,NA,NA
Manchester,New Hampshire,58.5,37.5,48,41.97,NA,NA,NA
McAllen,Texas,85.9,65.3,75.6,22.24,NA,NA,NA
Mesa,Arizona,86.4,57.5,71.95,9.29,NA,NA,NA
Miami,Florida,84.2,69.9,77.05,61.93,NA,2903,NA
Milwaukee,Wisconsin,55.5,39.9,47.7,34.41,NA,NA,NA
Minneapolis,Minnesota,55.1,37.2,46.15,30.64,NA,2607,NA
Mobile,Alabama,77.5,57,67.25,66.22,NA,NA,NA
Modesto,California,76,51.2,63.6,13.2,NA,NA,NA
Montgomery,Alabama,76.5,53.5,65,53.05,NA,NA,NA
Murfreesboro,Tennessee,70.8,45.6,58.2,53.42,NA,NA,NA
Nashville,Tennessee,69.7,48.8,59.25,47.24,NA,2634,NA
Newark,New Jersey,63.3,46.5,54.9,46.24,NA,NA,NA
New Orleans,Louisiana,77.1,62.3,69.7,63.5,NA,2744,NA
Newport News,Virginia,70.5,50.7,60.6,45.47,NA,NA,NA
New York,New York,62.3,48,55.15,46.23,NA,2677,NA
Norfolk,Virginia,68.1,52,60.05,46.55,NA,NA,NA
North Las Vegas,Nevada,81.6,55.8,68.7,4.76,NA,NA,NA
Oakland,California,67,51.4,59.2,23.99,NA,NA,NA
Oceanside,California,66,53.9,59.95,10.28,NA,NA,NA
Odessa,Texas,77.6,52.1,64.85,14.65,NA,NA,NA
Oklahoma City,Oklahoma,72.2,50.8,61.5,36.46,NA,NA,NA
Olathe,Kansas,65.7,45.3,55.5,40.12,NA,NA,NA
Omaha,Nebraska,61.8,40.3,51.05,30.63,NA,NA,NA
Ontario,California,77.8,53.2,65.5,15.04,NA,NA,NA
Orlando,Florida,82.4,64.3,73.35,53.19,NA,NA,NA
Oxnard,California,69.3,52.3,60.8,15.64,NA,NA,NA
Palmdale,California,78.3,48.6,63.45,7.4,NA,NA,NA
Pasadena,California,78.4,55.4,66.9,21.27,NA,NA,NA
Pearland,Texas,78.5,60.5,69.5,52.66,NA,NA,NA
Peoria,Illinois,61.4,42.2,51.8,36.45,NA,NA,NA
Phoenix,Arizona,86.7,63.4,75.05,8.04,NA,3832,NA
Pomona,California,77.1,49.9,63.5,16.99,NA,NA,NA
Pompano Beach,Florida,84.6,67.6,76.1,57.33,NA,NA,NA
Portland,Oregon,63.3,45.7,54.5,35.98,NA,NA,NA
Provo,Utah,66.2,40.7,53.45,19.77,NA,NA,NA
Pueblo,Colorado,68.9,38.5,53.7,12.99,NA,NA,NA
Raleigh,North Carolina,71.3,50.3,60.8,46.58,NA,NA,NA
Renton,Washington,60.9,45.3,53.1,40,NA,NA,NA
Richardson,Texas,75.6,54.6,65.1,41.49,NA,NA,NA
Richmond,California,66.7,50.5,58.6,24.98,NA,NA,NA
Richmond,Virginia,69.5,48,58.75,43.64,NA,2663,NA
Riverside,California,79.5,51.4,65.45,10.32,NA,NA,NA
Rochester,Minnesota,54.5,35.8,45.15,33.08,NA,NA,NA
Rochester,New York,57.3,39.5,48.4,34.34,NA,NA,NA
Rockford,Illinois,59.2,39,49.1,36.29,NA,NA,NA
Saint Paul,Minnesota,56.6,37.5,47.05,32.04,NA,NA,NA
Salem,Oregon,63.6,42.4,53,39.61,NA,NA,NA
Salinas,California,68,46.6,57.3,15.47,NA,NA,NA
Salt Lake City,Utah,63.4,46.2,54.8,18.58,NA,3059,NA
San Angelo,Texas,78.3,52.8,65.55,21.22,NA,NA,NA
San Antonio,New Mexico,77,38.8,57.9,9.84,NA,NA,NA
San Bernardino,California,80.1,51.7,65.9,16.37,NA,NA,NA
San Francisco,California,63.8,50.8,57.3,23.64,NA,2950,NA
San Jose,California,72.6,50.5,61.55,15.09,NA,NA,NA
Santa Ana,California,76.3,54.9,65.6,13.6,NA,NA,NA
Santa Maria,California,68.6,46.6,57.6,14.02,NA,NA,NA
Santa Rosa,California,71.3,46.9,59.1,30.98,NA,NA,NA
Savannah,Georgia,77.3,56.3,66.8,47.98,NA,NA,NA
Scottsdale,Arizona,84.7,60.4,72.55,10.32,NA,NA,NA
Seattle,Washington,58.8,45.1,51.95,34.1,NA,2019,NA
Shreveport,Louisiana,76.4,54.8,65.6,51.36,NA,NA,NA
Sioux Falls,South Dakota,56.4,34.8,45.6,26.35,NA,NA,NA
South Bend,Indiana,58.8,40.8,49.8,38,NA,NA,NA
Sparks,Nevada,68.3,36.6,52.45,8.26,NA,NA,NA
Spokane,Washington,57.6,38.5,48.05,16.52,NA,NA,NA
Springfield,Illinois,63,42.9,52.95,37.44,NA,NA,NA
Stamford,Connecticut,63.1,41.1,52.1,53.15,NA,NA,NA
Stockton,California,75.7,48.3,62,17.85,NA,NA,NA
Syracuse,New York,57.8,40.1,48.95,41.54,NA,NA,NA
Tacoma,Washington,61.5,45.3,53.4,39.25,NA,NA,NA
Tallahassee,Florida,79.5,55.7,67.6,59.21,NA,NA,NA
Temecula,California,76.5,52.9,64.7,NA,NA,NA,NA
Tempe,Arizona,87.3,55.3,71.3,9.33,NA,NA,NA
Thousand Oaks,California,74.3,51,62.65,16.62,NA,NA,NA
Toledo,Ohio,61.5,45.3,53.4,33.55,NA,NA,NA
Topeka,Kansas,66,44.1,55.05,36.49,NA,NA,NA
Torrance,California,71.4,53.6,62.5,14.46,NA,NA,NA
Tulsa,Oklahoma,71.2,50.2,60.7,40.91,NA,NA,NA
Tuscaloosa,Alabama,76.3,53.6,64.95,54.91,NA,NA,NA
Tyler,Texas,76.8,54.3,65.55,46.66,NA,NA,NA
Vancouver,Washington,62.1,41.8,51.95,41.67,NA,NA,NA
Victorville,California,78.9,45.7,62.3,6.18,NA,NA,NA
Virginia Beach,Virginia,68.9,52.3,60.6,NA,NA,NA,NA
Waco,Texas,77.7,55.3,66.5,36.38,NA,NA,NA
West Palm Beach,Florida,82.9,67.8,75.35,62.41,NA,NA,NA
Wichita,Kansas,67.6,45.7,56.65,34.33,NA,NA,NA
Wilmington,North Carolina,74.1,53.9,64,57.67,NA,NA,NA
Winston-Salem,North Carolina,69.7,49.4,59.55,46.93,NA,NA,NA
Woodruff,South Carolina,75.3,52.3,63.8,44.29,NA,2825,NA
Worcester,Massachusetts,56,39.6,47.8,48.02,NA,NA,NA
