City.x,State.x,Population.2017,Change,Land.Area.2016.sqmi,Population.Density.2016.sqmi,key,avg.snowfall,State.Abbr,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families,cost.of.living,crime,jan.avg,feb.avg,mar.avg,apr.avg,may.avg,jun.avg,jul.avg,aug.avg,sep.avg,oct.avg,nov.avg,dec.avg,jan.precip,feb.precip,mar.precip,apr.precip,may.precip,jun.precip,jul.precip,aug.precip,sep.precip,oct.precip,nov.precip,dec.precip,air.quality,City.y,State.y,Concert.Count
Frisco,Texas,177286,0.5154,67.7,2417,"Dallas, Texas",NA,TX,22,32,0,36.2,1,0.7,0.64,111,1590,39,42,51,58,66,75,77,78,71,60,50,40,7.1,2.6,7.1,9.9,11.4,5.8,2,1.4,0.5,14.4,8.2,6.1,54,Dallas,Texas,12
Sioux Falls,South Dakota,176888,0.1495,75.4,2312,"Sioux Falls, South Dakota",NA,SD,37,42,17,34.3,1,0.54,0.48,93,3308,8,10,24,35,45,57,61,59,51,38,24,11,0.6,0.9,1.3,3,3.9,5.2,3.2,4.4,3.2,3.1,1,1.4,40,Sioux Falls,South Dakota,1
Oceanside,California,176193,0.0545,41.3,4249,"Oceanside, California",NA,CA,35,28,33,36.8,1,0.56,0.41,135,2705,41,46,49,50,56,57,62,63,55,51,47,40,11.8,7,1.6,2.3,0.3,0.2,0.1,7,0.5,1.3,3.1,3.3,61,NA,NA,NA
Ontario,California,175841,0.0727,49.9,3471,"Ontario, California",NA,CA,45,43,26,31.9,1,0.5,0.51,124,2951,44,45,48,51,55,60,65,65,64,57,49,43,2.3,2,1.2,0.7,0.4,0,0.1,0,0.2,0.4,0.6,2.6,85,NA,NA,NA
Vancouver,Washington,175673,0.0858,46.9,3728,"Vancouver, Washington",NA,WA,41,59,35,36.5,1,0.52,0.46,111,3460,34,36,39,42,48,53,57,57,52,46,40,34,5.4,3.7,4.9,2.9,2.6,1.7,0.5,0.4,1.5,3.7,6.2,6.2,38,NA,NA,NA
Santa Rosa,California,175269,0.0444,41.3,4241,"Santa Rosa, California",NA,CA,44,48,28,38,0.9,0.51,0.46,149,2249,36,39,41,43,46,50,52,52,49,46,41,36,6,5.7,4.6,2.4,1.1,0.4,0,0,0.2,2,3.2,6.9,35,NA,NA,NA
Garden Grove,California,174226,0.0196,18,9714,"Los Angeles, California",NA,CA,61,54,39,37.4,1,0.54,0.45,142,2821,45,47,50,52,57,60,64,64,62,57,50,44,7.4,5.5,2.6,1.3,2.3,0.1,0.5,0.2,5.2,1.7,2.9,7.6,74,Los Angeles,California,16
Elk Grove,California,171844,0.1231,42.2,4022,"Sacramento, California",NA,CA,32,41,0,35.4,1,0.59,0.51,127,1625,38,41,44,47,52,57,59,58,56,50,43,38,3.3,3.1,2.9,1.8,0.5,0.3,0,0,0.1,1.2,1.6,3.8,55,Sacramento,California,7
Pembroke Pines,Florida,170712,0.1084,33,5109,"Miami, Florida",NA,FL,32,41,24,39.9,0.9,0.56,0.45,112,2367,59,60,63,68,72,75,76,77,76,72,66,64,2.4,2.8,2.4,3.4,4.3,6.8,8.1,7.5,8.3,6.6,3.1,3,41,Miami,Florida,1
Salem,Oregon,169798,0.098,48.6,3445,"Salem, Oregon",NA,OR,42,61,31,34.6,1,0.51,0.49,106,4621,34,35,37,39,45,50,54,54,50,43,38,33,5.6,4.1,5.4,2.9,2.3,1.3,0.3,0.4,1.8,4.1,6.7,7.4,31,NA,NA,NA
Eugene,Oregon,168916,0.0815,44.1,3777,"Eugene, Oregon",NA,OR,45,71,36,33.9,1,0.44,0.43,113,4116,33,34,37,38,43,47,51,51,47,42,37,32,4.9,4.3,5,2.6,2.2,1.2,0.4,0.3,1.2,3.6,6,6.7,36,Eugene,Oregon,1
Peoria,Arizona,168181,0.0916,175.7,934,"Phoenix, Arizona",NA,AZ,29,43,14,39.2,0.9,0.58,0.45,107,2290,41,44,50,56,64,75,83,81,74,60,49,41,3.6,1.5,2.3,5.5,8.4,0.2,8.1,6.2,2.8,0.9,1.4,2.9,74,Phoenix,Arizona,8
Corona,California,167836,0.1015,39.5,4222,"Corona, California",NA,CA,38,31,18,34.4,1,0.57,0.5,135,2081,40,38,42,44,48,53,58,59,56,48,41,36,4.3,2.6,2.9,2.8,1.6,5.5,2.7,1.5,4.5,8.5,0.9,1.5,85,NA,NA,NA
Springfield,Missouri,167376,0.0494,82.3,2033,"Kansas City, Missouri",NA,MO,38,49,0,32.8,0.9,0.45,0.42,85,10192,23,25,36,45,54,64,68,66,58,46,35,26,2.4,2.1,3.8,5.2,5.9,4.7,4.3,4,5.4,4,3.2,3,39,Kansas City,Missouri,8
Jackson,Mississippi,166965,-0.0377,111,1524,"Jackson, Mississippi",NA,MS,28,32,19,32.1,0.9,0.38,0.45,83,5132,39,41,49,56,63,71,73,73,68,55,46,41,5,5.2,5.7,5.5,4.9,3.6,4.4,4,3.6,3.5,4,5.3,42,NA,NA,NA
Cary,North Carolina,165904,0.2268,56.5,2873,"Cary, North Carolina",NA,NC,26,37,17,38.8,1,0.66,0.53,116,1139,31,31,39,48,56,65,69,69,62,49,38,34,2.7,2.6,4.3,4.1,4.1,4.8,5.2,4.9,5.5,3.4,3.8,4.1,43,NA,NA,NA
Fort Collins,Colorado,165080,0.1465,55.8,2943,"Fort Collins, Colorado",NA,CO,36,77,29,29.3,1,0.45,0.47,110,2755,18,20,28,34,43,52,57,56,50,38,27,16,2.6,0.5,1.4,3.7,4.4,2.1,2.6,2.6,1.8,2.2,1.2,0.4,46,NA,NA,NA
Hayward,California,160500,0.1131,45.5,3493,"Hayward, California",NA,CA,53,52,40,34.6,1,0.52,0.45,145,3461,42,46,46,48,52,56,57,58,57,53,48,42,3.5,3.3,2.6,1.8,0.6,0.1,0,0,0.2,1.4,1.3,3.2,48,NA,NA,NA
Lancaster,California,160316,0.0235,94.3,1698,"Lancaster, California",NA,CA,28,40,0,31.8,1,0.47,0.5,110,2824,30,34,40,44,53,62,68,65,56,46,36,30,1.6,1.2,0.6,0.3,0.1,0,0.2,0,0.2,0.4,0.4,1,74,NA,NA,NA
Alexandria,Virginia,160035,0.1434,15,10387,"Washington, District Of Columbia",NA,VA,60,58,54,36.2,0.9,0.48,0.44,151,1734,28,29,37,47,56,67,72,70,63,52,40,33,2.7,2.3,3.2,3.4,4.6,5.3,4.2,3.2,3.5,5,2.5,3.8,49,NA,NA,NA
Salinas,California,157596,0.0476,23.6,6662,"Salinas, California",NA,CA,53,50,31,30.1,1,0.48,0.56,121,3674,40,43,44,45,50,53,55,55,53,49,45,41,2.9,2.9,2.5,1.8,0.5,0.1,0,0.1,0.2,0.7,0.9,2.4,36,NA,NA,NA
Palmdale,California,157519,0.0312,106,1484,"Palmdale, California",NA,CA,25,32,0,30.4,1,0.51,0.54,113,2113,32,36,40,44,52,60,68,66,59,48,39,32,1.1,1.2,0.7,0.3,0.1,0,0.2,0,0.2,0.5,0.4,1,74,NA,NA,NA
Lakewood,Colorado,154958,0.0838,42.9,3599,"Denver, Colorado",NA,CO,43,56,38,38.1,1,0.51,0.4,113,5503,19,20,28,33,42,53,59,57,49,37,28,18,0.5,0.5,0.9,2,2.3,2,2.3,2.1,1.7,1.3,0.4,0.5,54,Denver,Colorado,16
Springfield,Massachusetts,154758,0.0111,31.9,4830,"Boston, Massachusetts",NA,MA,59,44,40,32.6,0.9,0.38,0.49,102,3846,16,16,26,36,46,55,61,58,51,41,30,23,5.4,5.5,6.7,5.7,6.3,7.6,7.3,8.2,7.9,8.1,5.8,6.5,39,Boston,Massachusetts,7
Sunnyvale,California,153656,0.0969,22,6944,"Los Angeles, California",NA,CA,55,71,41,35.4,1.1,0.63,0.5,202,1849,42,45,47,49,53,56,59,59,57,53,47,42,2.4,2.4,2,1.3,0.3,0.2,0,0,0.1,0.7,1.3,2.6,48,Los Angeles,California,16
Hollywood,Florida,153627,0.0913,27.3,5568,"Hollywood, Florida",NA,FL,55,54,34,42.6,1,0.49,0.41,105,3318,61,61,64,69,74,77,78,79,77,75,68,66,1.4,3.3,3.3,2.8,3.9,9.1,7.5,6.4,7,6,2.1,3.5,41,NA,NA,NA
Pasadena,Texas,153520,0.03,43.5,3525,"Houston, Texas",NA,TX,44,44,0,31.2,1,0.53,0.53,87,2912,46,50,57,63,68,75,77,77,73,64,55,49,3.8,2.3,4,4.9,7.1,3.9,4,8,4.6,4,3.6,4,52,Houston,Texas,11
Clarksville,Tennessee,153205,0.1525,98.3,1529,"Clarksville, Tennessee",NA,TN,18,24,0,29,1,0.56,0.54,94,3501,34,31,41,47,55,64,68,70,62,52,37,31,8.8,6.3,4.7,7.6,5.2,12.3,3.3,9.5,5.3,11.8,5.4,8.4,41,NA,NA,NA
Pomona,California,152939,0.026,23,6630,"Pomona, California",NA,CA,52,45,35,31,1,0.45,0.49,125,3487,40,41,44,47,52,57,62,61,59,52,44,39,1.6,1.4,0.8,0.4,0.3,0,0.1,0,0.1,0.3,0.4,2,85,Pomona,California,2
Kansas City,Kansas,152938,0.0491,124.8,1216,"Kansas City, Kansas",NA,KS,32,25,22,33.3,1,0.48,0.49,84,3214,23,26,38,48,57,68,72,70,62,49,38,27,0.7,1.3,2.2,3.9,5,5.6,4.7,5.1,4.3,3.5,1.5,1.2,58,NA,NA,NA
Macon,Georgia,152663,0.6712,249.3,612,"Macon, Georgia",NA,GA,31,28,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Escondido,California,151969,0.056,37.1,4087,"Escondido, California",NA,CA,42,36,30,33.3,1,0.53,0.5,131,2081,36,37,39,42,48,51,57,57,55,48,41,36,2.8,2.8,1.5,0.9,0.5,0,0.3,0.1,0.2,0.7,1.1,3.2,61,NA,NA,NA
Paterson,New Jersey,148678,0.017,8.4,17500,"Newark, New Jersey",NA,NJ,81,45,48,33,0.9,0.39,0.51,115,2997,24,21,27,39,49,61,65,65,56,49,34,26,5,3.2,8.8,10.1,2.7,6.6,8.4,7.9,2.2,15.6,6.5,8,53,NA,NA,NA
Joliet,Illinois,148462,0.007,64.4,2302,"Joliet, Illinois",NA,IL,34,42,17,33.4,1,0.53,0.55,96,2134,18,19,31,41,50,60,64,62,55,44,33,23,2.5,2.8,4.5,4.9,4.7,5.4,5.7,6.8,5.4,5.7,4.9,3.7,60,Joliet,Illinois,5
Naperville,Illinois,147682,0.0411,38.7,3802,"Joliet, Illinois",NA,IL,35,46,21,38.5,1,0.66,0.52,126,1252,17,18,31,40,51,60,64,62,55,44,33,22,3.1,3,5.2,4.8,5.9,6.7,4.1,7.7,3.2,7.3,3.9,3.7,60,Joliet,Illinois,5
Rockford,Illinois,147051,-0.0381,63.5,2325,"Rockford, Illinois",NA,IL,42,42,0,36,1,0.49,0.48,83,5156,14,15,27,37,47,58,62,61,53,42,30,18,1.7,1.6,2.7,4.3,3.4,5.1,4.9,5.3,2.8,2.9,2.4,2.5,31,NA,NA,NA
Torrance,California,146758,0.0091,20.5,7180,"Torrance, California",NA,CA,64,52,37,41.7,1,0.6,0.42,167,2355,48,51,54,55,59,61,66,67,63,59,56,50,8.9,7.7,2.5,3.7,1.5,0,0,0,4.9,4,2.7,3.4,74,NA,NA,NA
Bridgeport,Connecticut,146579,0.0163,16.1,9064,"Bridgeport, Connecticut",NA,CT,68,50,0,33.2,0.9,0.39,0.49,108,3238,23,23,30,41,50,60,67,66,59,48,38,29,3.3,3.6,4,4.3,3.9,4.9,3.5,4.2,3.8,4.7,3,5.4,47,NA,NA,NA
Savannah,Georgia,146444,0.0745,103.6,1417,"Savannah, Georgia",NA,GA,43,49,0,31.8,0.9,0.39,0.43,94,3217,41,42,49,56,64,71,74,74,69,59,48,45,7.1,6.3,7.9,7.4,7.2,9.3,9.2,11.3,9.3,8.4,4.8,7.5,40,NA,NA,NA
Killeen,Texas,145482,0.1373,53.5,2680,"Killeen, Texas",NA,TX,28,34,0,28.1,1,0.57,0.57,87,3582,40,44,51,59,65,73,76,76,70,60,50,42,3.1,1.6,5,3.3,5.5,2.9,1.9,1.5,3.6,4.3,1.4,1.8,36,NA,NA,NA
Bellevue,Washington,144444,0.1805,33.5,4221,"Bellevue, Iowa",NA,WA,40,39,38,38.2,1,0.62,0.47,176,3006,36,37,40,43,49,54,58,58,54,47,40,36,5.1,3.8,4.9,3.1,2.2,1.5,0.4,0.6,1.6,3.9,6.6,6.1,49,NA,NA,NA
Mesquite,Texas,143949,0.0295,47.2,3045,"Dallas, Texas",NA,TX,36,37,0,32.3,0.9,0.52,0.51,93,4072,36,39,48,55,62,71,73,73,66,55,47,38,5.2,4.8,3.6,3.9,8.5,6.3,4,4.1,2.2,4.6,3.4,7,54,Dallas,Texas,12
Syracuse,New York,143396,-0.0122,25,5735,"Syracuse, New York",NA,NY,61,46,44,30.6,0.9,0.34,0.46,87,4072,16,16,24,35,46,56,61,60,52,43,32,23,2.6,2.9,3.2,4,3.4,4.7,4.5,4,3.4,5.2,3.1,4.2,32,NA,NA,NA
Mcallen,Texas,142696,0.0987,58.4,2435,"Mcallen, Texas",NA,TX,0,0,0,32.4,1,0.58,0.5,77,2924,51,56,62,68,73,77,78,78,75,68,60,54,1,0.8,1,1.5,2.1,1.8,3.3,1.8,4.6,1.6,1.1,1.4,36,NA,NA,NA
Pasadena,California,142647,0.0403,23,6176,"Pasadena, California",NA,CA,66,66,0,37.7,1,0.49,0.39,166,2463,45,46,49,52,56,60,65,65,63,57,50,44,3.3,2.5,2,0.6,0.2,0,0,0,0.2,0.5,0.6,2.1,74,NA,NA,NA
Orange,California,140560,0.0304,25.4,5532,"Los Angeles, California",NA,CA,51,54,34,35.1,1,0.52,0.45,158,1985,48,49,52,54,59,62,66,66,65,60,54,48,2.3,1.9,0.9,0.6,0.3,0,0.1,0,0.2,0.5,0.7,2.4,85,Los Angeles,California,16
Fullerton,California,140392,0.0387,22.4,6282,"Fullerton, California",NA,CA,54,46,34,34.6,1,0.52,0.44,154,2997,46,48,51,54,58,62,66,66,65,59,52,45,2.3,1.7,1,0.5,0.3,0,0.1,0,0.2,0.4,0.6,2.5,74,NA,NA,NA
Dayton,Ohio,140371,-0.0082,55.7,2522,"Dayton, Ohio",NA,OH,46,44,0,33.3,0.9,0.36,0.46,83,5219,21,22,33,42,52,61,64,63,56,44,33,27,4.7,4.9,6.6,6.8,6.8,7.3,8.6,6.8,6.6,6.5,6.1,6.1,48,Dayton,Ohio,1
Miramar,Florida,140328,0.1498,29.4,4709,"Hollywood, Florida",NA,FL,30,42,24,35.9,0.9,0.48,0.51,112,1878,59,60,63,68,72,75,76,77,76,72,66,64,2.4,2.8,2.4,3.4,4.3,6.8,8.1,7.5,8.3,6.6,3.1,3,41,NA,NA,NA
Olathe,Kansas,137472,0.0922,60.9,2225,"Olathe, Kansas",NA,KS,28,47,10,34.4,1,0.62,0.55,98,1615,22,24,37,46,56,66,69,67,59,47,36,25,0.6,1.3,2.4,4.4,5.8,5.7,5.7,4.7,3.6,3.2,2,1.5,58,NA,NA,NA
Thornton,Colorado,136978,0.1533,35.7,3829,"Denver, Colorado",NA,CO,32,50,24,33,1,0.57,0.54,105,3045,21,22,30,35,44,54,60,59,51,39,29,19,1.8,2,2.1,4,5.2,4.6,5.7,4.5,5.7,4.1,2.2,2.9,54,Denver,Colorado,16
Waco,Texas,136436,0.0932,89,1510,"Waco, Texas",NA,TX,34,38,0,28.5,1,0.45,0.48,85,4102,35,39,47,54,62,71,74,74,67,55,46,37,2.9,2.1,4.2,3.7,5.5,3.7,2.2,2.3,3.5,4.5,2.3,1.9,39,NA,NA,NA
Murfreesboro,Tennessee,136372,0.2539,55.9,2360,"Murfreesboro, Tennessee",NA,TN,24,37,0,30.3,1,0.49,0.51,99,3728,36,32,43,48,56,67,71,73,64,52,41,34,7.2,3.3,6.3,4.8,4.4,3.3,2.2,1.6,4,9.6,6.3,6,45,NA,NA,NA
Denton,Texas,136268,0.2018,93.4,1433,"Denton, Texas",NA,TX,33,39,0,28.5,0.9,0.42,0.47,91,2563,33,37,47,54,61,71,74,74,66,54,45,35,2.2,1.9,3.6,4,4.9,4.4,2.1,2.2,2.6,3.9,2.4,2.3,54,NA,NA,NA
West Valley City,Utah,136170,0.0517,35.5,3847,"Salt Lake City, Utah",NA,UT,36,40,36,30.4,1,0.54,0.55,97,4819,20,27,33,38,46,57,67,64,54,42,32,22,1.3,1.1,1.8,2.4,2,0.9,0.5,0.7,1.3,1.2,1.2,1.6,47,Salt Lake City,Utah,13
Midland,Texas,136089,0.2244,74.4,1809,"Midland, Texas",NA,TX,41,40,0,31.9,1,0.58,0.47,103,2198,34,38,46,55,62,71,73,73,66,56,44,36,0.6,0.3,0.3,0.6,1,0.6,1.2,0.6,1.7,0.4,0.2,0.3,30,Midland,Texas,1
Carrollton,Texas,135710,0.1395,36.3,3674,"Dallas, Texas",NA,TX,34,36,21,36.5,1,0.59,0.49,102,1874,39,42,51,58,66,75,77,78,71,60,50,40,7.1,2.6,7.1,9.9,11.4,5.8,2,1.4,0.5,14.4,8.2,6.1,54,Dallas,Texas,12
Roseville,California,135329,0.1392,43,3085,"Los Angeles, California",NA,CA,36,59,20,38.5,0.9,0.6,0.48,130,2636,37,40,43,46,51,57,59,58,55,49,42,37,3.3,2.9,2.6,1.6,0.5,0.3,0,0,0.1,0.9,1.8,3.4,55,Los Angeles,California,16
Warren,Michigan,135022,0.0072,34.4,3928,"Detroit, Michigan",NA,MI,43,43,0,39.2,0.9,0.52,0.44,87,2647,20,20,29,39,50,61,65,64,57,46,34,26,1.7,1.6,2.3,3,3.7,3.2,3.8,4.4,3.5,1.9,2.3,2.1,52,Detroit,Michigan,6
Charleston,South Carolina,134875,0.1232,109,1233,"Charleston Afb, South Carolina",NA,SC,40,48,23,34,0.9,0.46,0.38,115,2581,38,39,45,53,62,70,73,73,68,56,45,42,2.9,3.7,3.1,3.4,3.4,6.6,6.5,8,5.9,5.6,2.9,3.7,36,NA,NA,NA
Hampton,Virginia,134669,-0.0201,51.5,2629,"Hampton, Virginia",NA,VA,33,40,27,35.6,0.9,0.48,0.41,100,3536,36,32,39,48,56,67,72,72,66,58,44,36,4.5,3.5,3.7,7.6,6.5,11.3,6.5,7.8,3.2,16.2,6.3,6.5,39,NA,NA,NA
Surprise,Arizona,134085,0.141,107.9,1230,"Phoenix, Arizona",NA,AZ,21,44,0,39.9,0.9,0.66,0.4,106,1877,41,44,50,56,64,75,83,81,74,60,49,41,3.6,1.5,2.3,5.5,8.4,0.2,8.1,6.2,2.8,0.9,1.4,2.9,74,Phoenix,Arizona,8
Columbia,South Carolina,133114,0.0297,133.5,1006,"Charleston Afb, South Carolina",NA,SC,38,34,0,28.2,1.1,0.35,0.45,101,6020,36,38,45,54,62,70,73,73,67,55,43,41,3,3.4,3.2,2.8,3.4,4.6,4.7,5.5,4.2,4,2.8,4.3,42,NA,NA,NA
Coral Springs,Florida,133037,0.0986,23.8,5465,"Hollywood, Florida",NA,FL,38,44,29,36.4,0.9,0.52,0.52,119,2172,60,60,64,69,72,75,77,77,76,73,66,64,1.9,1.8,3.4,3.2,4.2,5.9,6.2,6.9,8.2,4.9,3.8,2.8,41,NA,NA,NA
Visalia,California,133010,0.0689,37.5,3495,"Visalia, California",NA,CA,38,47,0,31.7,0.9,0.54,0.53,108,3673,38,40,44,48,54,60,65,63,58,50,42,36,4.2,3.7,3.5,4.2,1.1,3,0.5,0.2,2.3,4.6,3.1,5.6,74,NA,NA,NA
Sterling Heights,Michigan,132631,0.0226,36.5,3628,"Detroit, Michigan",NA,MI,32,37,0,41.1,1,0.6,0.38,95,1316,19,16,26,37,47,60,63,64,56,47,33,23,4.3,3.4,4.2,4.3,5.6,4.6,4.5,8,5,3,4.4,4.3,52,Detroit,Michigan,6
Gainesville,Florida,132249,0.0635,62.3,2112,"Gainesville, Florida",NA,FL,34,66,0,25.7,0.9,0.29,0.38,95,4316,43,43,48,55,62,70,72,73,69,61,49,47,4.2,3.8,3.4,2.6,3.5,6.3,6.4,7.9,2.5,4.4,1.3,3.9,33,NA,NA,NA
Cedar Rapids,Iowa,132228,0.0467,70.8,1852,"Cedar Rapids, Iowa",NA,IA,35,37,0,35.7,1,0.54,0.48,91,4036,12,14,28,39,50,60,63,61,53,42,29,17,0.8,1,2.1,4.6,3.9,7,4.8,4.7,4,3.1,2.1,1.9,42,NA,NA,NA
New Haven,Connecticut,131014,0.0095,18.7,6948,"Denver, Colorado",NA,CT,68,66,0,30.7,0.9,0.33,0.51,111,4856,23,23,30,40,50,60,66,64,58,47,37,30,2.6,2.8,3.4,4.5,3.8,4.7,3.1,3.7,3.2,4.5,2.9,4.2,49,Denver,Colorado,16
Stamford,Connecticut,130824,0.0667,37.6,3434,"Stamford, Connecticut",NA,CT,54,39,38,36.4,1,0.53,0.47,155,1750,23,23,30,41,50,60,66,64,57,47,37,29,3,2.6,3.5,4.2,4.2,5.1,4.4,4.2,4.3,5.1,3.1,4.5,47,NA,NA,NA
Elizabeth,New Jersey,130215,0.042,12.3,10459,"Elizabeth, New Jersey",NA,NJ,81,54,43,33.3,1,0.41,0.53,118,4339,24,25,32,43,53,63,69,67,60,49,38,31,3.8,3.3,3.9,4.1,4.5,5.5,4.4,4.8,3.2,5.1,3.3,5,53,NA,NA,NA
Concord,California,129783,0.0632,30.5,4221,"San Francisco, California",NA,CA,45,48,30,37.7,1,0.55,0.45,147,3761,39,43,45,47,52,56,58,57,56,50,45,40,3.3,3,1.8,1.9,0.6,0,0,0,0,1.4,1.2,2.3,43,San Francisco,California,9
Thousand Oaks,California,128995,0.0183,55.2,2335,"Thousand Oaks, California",NA,CA,33,26,0,42.8,1,0.6,0.43,169,1438,45,44,46,48,52,57,60,60,59,54,48,43,2.1,1.9,1.4,0.7,0.2,0,0.1,0,0.1,0.4,0.7,2,48,NA,NA,NA
Kent,Washington,128458,0.3901,33.7,3784,"Kent, Washington",NA,WA,39,41,34,34,1,0.52,0.5,119,5731,35,37,39,42,47,52,56,56,53,46,40,35,5.6,3.7,5.1,3.2,2.2,1.5,0.6,1.1,1.9,4.5,7.1,6.1,49,NA,NA,NA
Santa Clara,California,127134,0.0916,18.4,6845,"San Francisco, California",NA,CA,59,72,41,34.1,1.1,0.56,0.48,188,3005,41,44,46,48,52,56,58,58,57,53,46,41,2.5,2.5,2.1,1.3,0.3,0.2,0,0,0.1,0.6,1.3,2.4,48,San Francisco,California,9
Simi Valley,California,126878,0.0213,41.5,3044,"Los Angeles, California",NA,CA,39,44,0,40,1,0.59,0.43,149,1586,45,46,47,47,53,59,65,63,61,57,53,44,19.1,5.8,3.2,3,0.6,0,0,0,28.1,5.9,1.3,4,74,Los Angeles,California,16
Lafayette,Louisiana,126848,0.0516,53.8,2372,"Lafayette, Louisiana",NA,LA,42,45,0,34,1,0.45,0.45,95,5116,44,47,54,60,67,73,75,75,71,60,51,46,5.6,4.5,3.3,4.9,5.8,5.8,5.9,7.6,5.5,3.6,4.1,5.9,44,NA,NA,NA
Topeka,Kansas,126587,-0.007,61.5,2062,"Topeka, Kansas",NA,KS,34,52,21,36.9,0.9,0.52,0.45,88,5742,19,22,34,44,53,65,68,66,57,44,33,22,1,1.5,2.6,4.2,5.6,5.5,4.4,5.2,4.4,3.3,1.6,1.8,36,NA,NA,NA
Athens,Georgia,125691,0.0887,116.4,1060,"Athens, Georgia",NA,GA,0,0,0,26.7,0.9,0.35,0.42,93,3562,32,34,41,49,57,66,69,69,63,50,39,36,4.2,3.9,4.3,4.1,3.4,4,4.5,5,3.8,4.1,3.4,5.9,39,Athens,Georgia,2
Round Rock,Texas,123678,0.2382,35.6,3396,"Austin, Texas",NA,TX,22,33,0,33.2,1,0.56,0.56,100,2303,38,43,50,58,65,72,75,74,68,58,49,41,8,3.9,8.5,6.8,10.2,10.1,15.2,11.2,6.6,2.8,5,4.3,41,Austin,Texas,10
Hartford,Connecticut,123400,-0.011,17.4,7083,"Hartford, Connecticut",NA,CT,71,53,54,30.6,0.9,0.3,0.5,104,5086,21,21,29,40,50,60,66,64,57,46,35,27,2.9,3.1,3.5,4.2,3.8,5.1,4.5,4.1,3.5,5.2,3.3,4.2,46,Hartford,Connecticut,3
Norman,Oklahoma,122843,0.1074,178.8,683,"Norman, Oklahoma",NA,OK,30,55,0,30.3,1,0.46,0.44,94,2994,29,35,45,50,61,68,70,72,67,54,43,30,6.5,3.2,8.3,3.9,10.4,15.7,13.1,12.2,8.9,6,2.1,3.9,47,NA,NA,NA
Victorville,California,122441,0.0564,73.3,1668,"Victorville, California",NA,CA,19,32,22,29.4,1,0.49,0.52,107,3391,36,38,42,46,52,63,66,65,59,50,41,35,2.1,2.9,2.3,3.2,1,4.8,1,0.9,1.7,3.5,1,4.3,85,NA,NA,NA
Fargo,North Dakota,122359,0.1593,49.3,2450,"Fargo, North Dakota",NA,ND,44,46,25,30.5,1,0.46,0.49,97,3538,1,3,18,32,44,55,59,56,48,37,22,6,0.9,0.6,1,1.7,3.3,4.6,2.6,3,3.1,2.4,0.7,1.1,35,NA,NA,NA
Berkeley,California,122324,0.0866,10.5,11547,"Berkeley, California",NA,CA,81,85,59,31.4,0.9,0.36,0.4,190,5450,41,45,47,49,52,54,56,57,55,52,47,42,2.8,3.1,2.9,1.8,0.4,0.3,0,0,0.1,1,1.9,4.1,43,Berkeley,California,6
Vallejo,California,122105,0.0532,30.7,3951,"San Francisco, California",NA,CA,42,33,0,38.3,0.9,0.48,0.4,127,4620,36,39,41,42,46,50,53,53,49,45,40,36,3.8,3.4,3,1.6,0.5,0.3,0,0,0.1,1.3,1.8,3.8,43,San Francisco,California,9
Abilene,Texas,121885,0.0412,106.7,1146,"Abilene, Texas",NA,TX,31,37,0,31.2,1.1,0.51,0.43,88,2847,32,36,44,52,60,69,72,72,64,53,42,33,1.1,1.3,1.9,2.2,3.6,3.2,2.5,3.1,2.8,2.6,1.3,1.2,33,NA,NA,NA
Columbia,Missouri,121717,0.1218,65,1856,"Columbia, Missouri",NA,MO,30,37,0,27.4,0.9,0.42,0.48,96,3432,21,23,35,44,53,63,67,65,57,45,35,25,2,2.1,3,5.7,4.3,4.8,5.1,3.9,4.8,3.9,2.4,2.7,375,Columbia,Missouri,3
Ann Arbor,Michigan,121477,0.0662,28.1,4298,"Ann Arbor, Michigan",NA,MI,51,68,45,27.5,1,0.37,0.42,108,1941,16,15,26,36,46,54,58,57,50,40,29,22,1.8,1.6,2.4,3.4,3.8,3.7,3.2,2.7,2.4,2.5,2.1,1.9,34,NA,NA,NA
Allentown,Pennsylvania,121283,0.0275,17.5,6882,"Allentown, Pennsylvania",NA,PA,66,41,36,32.3,0.9,0.4,0.51,94,3194,20,20,28,38,48,58,63,61,54,43,33,26,3.5,3.1,3.4,3.9,3.7,5.5,6.4,5,4.5,5.4,2.8,4.9,47,Allentown,Pennsylvania,1
Pearland,Texas,119940,0.3144,46.3,2453,"Pearland, Texas",NA,TX,20,35,0,34.7,1,0.67,0.57,101,3002,48,51,56,60,67,74,75,77,74,62,55,48,5.3,4.1,8.6,9.7,9.5,7.9,14.6,8.5,6.1,4.7,5.9,3.1,52,NA,NA,NA
Beaumont,Texas,119114,0.0069,82.1,1441,"Beaumont, Texas",NA,TX,33,38,0,33.8,0.9,0.49,0.47,89,5399,42,46,52,58,65,73,74,74,70,59,50,45,4.2,3.1,4.2,4.2,4.7,4.9,8.6,7.6,6.8,5.3,4.1,4.9,44,NA,NA,NA
