City.x,State.x,Population.2017,Change,Land.Area.2016.sqmi,Population.Density.2016.sqmi,key,avg.snowfall,State.Abbr,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families,cost.of.living,crime,jan.avg,feb.avg,mar.avg,apr.avg,may.avg,jun.avg,jul.avg,aug.avg,sep.avg,oct.avg,nov.avg,dec.avg,jan.precip,feb.precip,mar.precip,apr.precip,may.precip,jun.precip,jul.precip,aug.precip,sep.precip,oct.precip,nov.precip,dec.precip,air.quality,City.y,State.y,Concert.Count
Jersey City,New Jersey,270753,0.0935,14.8,17848,"Jersey City, New Jersey",NA,NJ,87,54,71,33.7,1,0.47,0.47,146,2316,24,25,32,43,53,63,69,67,60,49,38,31,3.8,3.3,3.9,4.1,4.5,5.5,4.4,4.8,3.2,5.1,3.3,5,53,Jersey City,New Jersey,1
Chula Vista,California,270471,0.1089,49.6,5387,"Chula Vista, California",NA,CA,42,36,35,34.1,1,0.56,0.52,136,1730,48,49,51,53,57,60,63,64,63,58,53,48,2.8,3.8,0.1,0,1.5,0,0,0,0.3,0,0.1,1.5,61,NA,NA,NA
Durham,North Carolina,267743,0.1726,109.8,2395,"Durham, North Carolina",NA,NC,29,36,29,33.3,0.9,0.46,0.48,95,4619,31,31,39,48,56,65,69,69,62,49,38,34,2.7,2.6,4.3,4.1,4.1,4.8,5.2,4.9,5.5,3.4,3.8,4.1,35,NA,NA,NA
Fort Wayne,Indiana,265904,0.0481,110.6,2391,"Fort Wayne, Indiana",NA,IN,29,40,22,34.9,0.9,0.52,0.47,87,3537,17,18,28,38,49,59,62,60,53,42,31,23,2.9,2.4,3.1,4,4.9,5.1,4.1,4.4,3.3,2.9,3.2,3.1,47,NA,NA,NA
St. Petersburg,Florida,263255,0.0755,61.8,4223,"Tampa, Florida",NA,FL,43,57,34,42.4,0.9,0.47,0.36,98,5011,56,57,62,68,73,77,78,79,77,72,63,60,2.4,1.8,2.8,2,2.8,7.3,7.6,8.9,7.1,2.3,1.4,1.3,43,Tampa,Florida,4
Laredo,Texas,260654,0.104,101.1,2544,"Laredo, Texas",NA,TX,41,40,0,28.5,1,0.54,0.55,77,2805,50,54,61,67,73,78,78,79,75,67,59,51,4.3,1,2.4,0.7,6.8,3.6,5,6.2,6.5,4.5,0.8,4,38,NA,NA,NA
Buffalo,New York,258612,-0.0103,40.4,6359,"Buffalo, New York",NA,NY,68,59,49,32.9,0.9,0.36,0.49,85,4855,18,17,25,36,47,57,62,61,54,44,33,25,3,2.7,2.7,3.6,3.1,4.3,3.4,3.9,4.5,5.2,3.5,4.2,41,Buffalo,New York,1
Madison,Wisconsin,255214,0.0944,77,3280,"Madison, Wisconsin",NA,WI,49,63,38,30.8,1,0.42,0.45,108,3037,14,18,30,38,50,59,66,61,51,40,33,20,2.9,1.6,2.6,5.8,5.4,6.3,3.9,5.2,2.8,8.9,2.9,3.2,42,Madison,Wisconsin,6
Lubbock,Texas,253888,0.1059,124.6,2027,"Lubbock, Texas",NA,TX,38,43,22,29.3,1,0.48,0.46,88,3002,26,29,38,45,54,65,68,66,59,48,35,27,0.8,0.8,1.2,1.2,3.1,2.2,2.6,2.1,3.1,1.7,0.5,0.9,26,Lubbock,Texas,2
Chandler,Arizona,253458,0.0734,64.9,3813,"Phoenix, Arizona",NA,AZ,35,53,24,35,1,0.56,0.51,106,2589,45,48,54,60,68,79,84,83,77,65,54,45,0.8,0.7,0.5,0.2,0.2,0,0.9,1.4,0.8,0.2,0.4,0.9,74,Phoenix,Arizona,8
Scottsdale,Arizona,249950,0.1498,183.9,1341,"Scottsdale, Arizona",NA,AZ,32,52,26,46.3,1,0.57,0.33,124,2329,45,48,54,60,68,79,84,83,77,65,54,45,0.8,0.7,0.5,0.2,0.2,0,0.9,1.4,0.8,0.2,0.4,0.9,74,NA,NA,NA
Reno,Nevada,248853,0.1049,107.3,2286,"Reno, Nevada",NA,NV,38,47,28,35.3,1,0.47,0.48,110,3759,24,28,32,37,45,53,61,58,50,40,30,23,1.4,1.1,0.6,0.5,0.6,0.3,0.3,0.2,0.1,0.8,0.6,1.1,50,Reno,Nevada,2
Glendale,Arizona,246709,0.0882,59.1,4161,"Phoenix, Arizona",NA,AZ,40,53,34,33.9,1,0.48,0.47,93,5019,41,44,50,56,64,75,83,81,74,60,49,41,3.6,1.5,2.3,5.5,8.4,0.2,8.1,6.2,2.8,0.9,1.4,2.9,74,Phoenix,Arizona,8
Norfolk,Virginia,244703,0.0078,53.3,4599,"Norfolk, Virginia",NA,VA,45,45,36,30.2,1.1,0.41,0.47,108,4305,35,36,43,52,61,70,74,73,68,58,46,40,3.1,2.5,3.5,3.5,4.2,4.9,4.8,6.1,5.7,5.5,3.3,3.5,39,Norfolk,Virginia,6
Winston–Salem,North Carolina,244605,0.0653,132.5,1828,"Winston Salem, North Carolina",NA,NC,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Las Vegas,Nevada,242975,0.1199,98,2436,"North Las Vegas, Nevada",NA,NV,33,42,31,31.5,1,0.5,0.52,99,3401,38,43,49,55,64,71,79,77,68,57,48,37,6.1,3.9,1,0.6,0.2,0.5,1.7,2.7,3.4,8.6,1.8,2.9,54,NA,NA,NA
Gilbert,Arizona,242354,0.1626,68,3487,"Phoenix, Arizona",NA,AZ,29,51,15,33.3,1,0.6,0.55,109,1471,45,48,54,60,68,79,84,83,77,65,54,45,0.8,0.7,0.5,0.2,0.2,0,0.9,1.4,0.8,0.2,0.4,0.9,74,Phoenix,Arizona,8
Chesapeake,Virginia,240397,0.0819,338.5,703,"Newport News, Virginia",NA,VA,22,35,13,36.7,1,0.59,0.44,117,2691,33,32,40,49,58,66,70,69,63,52,41,36,7.3,0.6,7.4,5,6.1,7.3,5.6,5.5,17.1,3.5,3.4,3.7,39,NA,NA,NA
Irving,Texas,240373,0.1113,67,3557,"Irving, Texas",NA,TX,43,39,31,32,1,0.53,0.54,96,2766,38,42,50,58,65,75,78,78,72,60,49,41,3,2.1,2.7,3.8,5.4,4.7,1.5,3,2.8,3.5,3.3,3,54,NA,NA,NA
Hialeah,Florida,239673,0.0668,21.5,10995,"Hialeah, Florida",NA,FL,69,51,39,43.5,0.9,0.5,0.38,101,2412,61,59,63,64,70,74,77,78,76,76,67,62,1.8,5.2,5.3,6.2,12.5,15.6,9.3,2.1,8.6,9,4.4,1,41,NA,NA,NA
Garland,Texas,238002,0.049,57,4122,"Dallas, Texas",NA,TX,39,38,29,34.1,1,0.56,0.49,94,3349,37,41,47,55,62,71,74,74,69,58,47,40,6.3,4.5,6.1,8.2,8.7,9.1,9,8.4,9.7,13.3,7.5,7.9,54,Dallas,Texas,12
Fremont,California,234962,0.0975,77.5,3008,"Fremont, California",NA,CA,44,49,37,37.5,1,0.66,0.53,183,2333,42,46,46,48,52,56,57,58,57,53,48,42,3.5,3.3,2.6,1.8,0.6,0.1,0,0,0.2,1.4,1.3,3.2,48,NA,NA,NA
Richmond,Virginia,227032,0.1117,59.8,3732,"Richmond, Virginia",NA,VA,51,51,0,33.2,0.9,0.34,0.44,100,2001,28,29,37,46,55,65,69,68,61,49,38,33,3.2,2.5,3.7,3.7,4.2,4.5,4.6,5.4,4.7,4.2,3.7,4.3,39,Richmond,Virginia,5
Boise,Idaho,226570,0.1016,82.1,2718,"Boise, Idaho",NA,ID,0,0,0,35.8,1,0.52,0.45,96,2724,23,28,34,37,45,53,62,60,52,41,32,23,1.3,0.9,1.5,1.2,1.2,0.8,0.2,0.3,0.5,1,1.3,1.9,36,Boise,Idaho,2
Baton Rouge,Louisiana,225374,-0.0179,85.9,2651,"Baton Rouge, Louisiana",NA,LA,41,43,0,31.3,0.9,0.39,0.41,95,6621,44,45,51,58,66,72,74,74,70,58,49,45,5.2,5,3.1,3.2,5.7,3,5.2,7.9,6.9,5.6,2.7,9.3,46,Baton Rouge,Louisiana,1
Des Moines,Iowa,217521,0.0693,88.9,2424,"Des Moines, Iowa",NA,IA,45,38,29,33.7,1,0.49,0.51,86,5083,14,17,30,41,51,62,66,64,56,43,31,18,0.9,1.2,2.2,4.9,4.9,6.5,4.2,5.1,3.7,3.2,1.8,2.1,41,Des Moines,Iowa,5
Spokane,Washington,217108,0.0392,68.7,3144,"Spokane, Washington",NA,WA,48,48,36,35.8,1,0.49,0.46,94,7858,25,28,32,36,43,50,57,55,47,39,32,25,2,1.4,2.4,1.3,1.2,2,0.5,0.4,0.6,1.7,2,2.4,39,Spokane,Washington,1
San Bernardino,California,216995,0.0337,61.5,3516,"San Bernardino, California",NA,CA,42,40,37,28.9,1,0.42,0.53,107,5159,44,45,47,50,55,59,65,65,63,56,49,44,1.6,1.2,0.7,0.5,0.2,0,0.2,0.1,0.2,0.2,0.5,1.9,85,NA,NA,NA
Modesto,California,214221,0.0649,43,4934,"Modesto, California",NA,CA,45,46,30,35.3,1,0.53,0.47,109,4932,38,42,46,49,54,60,64,63,59,52,44,38,2.4,1.9,1.7,1.3,0.4,0.2,0,0,0.1,0.7,1.1,2.3,55,NA,NA,NA
Tacoma,Washington,213418,0.0757,49.7,4251,"Tacoma, Washington",NA,WA,53,47,0,36,1,0.47,0.44,112,6388,36,36,41,43,48,51,55,55,51,47,40,37,6.8,2.9,6.1,3.5,3.5,1.9,3.2,0.9,3.3,3.5,6.5,9,17,NA,NA,NA
Fontana,California,211815,0.0803,43,4876,"Los Angeles, California",NA,CA,36,39,29,30.2,1,0.51,0.55,122,2101,43,47,48,50,55,58,65,65,60,57,50,43,11.6,9.6,2.1,4.1,4.8,0.1,0.2,2.3,2.1,4.3,7.7,3.3,85,Los Angeles,California,16
