city,state,pop2017,pop.change,area.sq.mi,pop.density,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families,cost.of.living,crime,concerts,jan.avg,feb.avg,mar.avg,apr.avg,may.avg,jun.avg,jul.avg,aug.avg,sep.avg,oct.avg,nov.avg,dec.avg,jan.precip,feb.precip,mar.precip,apr.precip,may.precip,jun.precip,jul.precip,aug.precip,sep.precip,oct.precip,nov.precip,dec.precip,air.quality,weather.avg,precip.avg,results,weather.averages,precip.averages,rank.by.score
Everett,Washington,110079,0.0685,33.3,3275,48,53,38,35.2,1.1,0.47,0.47,129,5085,0,36,37,39,42,47,51,55,56,53,47,40,35,3.8,2.7,4.4,2.8,2.2,1.8,0.7,0.9,2,3.6,5.7,4.9,49,0.7683671044925712,-0.06769637177062704,7.572508532909229,44.833333333333336,2.9583333333333335,279
Fullerton,California,140392,0.0387,22.4,6282,54,46,34,34.6,1,0.52,0.44,154,2997,0,46,48,51,54,58,62,66,66,65,59,52,45,2.3,1.7,1,0.5,0.3,0,0.1,0,0.2,0.4,0.6,2.5,74,-0.488074400719454,-0.9595446566355559,7.612548878906376,56,0.7999999999999999,280
Murrieta,California,113326,0.0953,33.6,3324,27,22,0,33.9,0.9,0.6,0.53,132,1471,16,39,40,44,46,53,57,60,60,57,50,43,38,4.6,3.4,1.6,1.3,0.8,0.1,0.2,0.1,0.3,1.2,1.6,3.8,85,0.2942225293963027,-0.6000138770874609,7.791061286096671,48.916666666666664,1.5833333333333333,281
Pearland,Texas,119940,0.3144,46.3,2453,20,35,0,34.7,1,0.67,0.57,101,3002,0,48,51,56,60,67,74,75,77,74,62,55,48,5.3,4.1,8.6,9.7,9.5,7.9,14.6,8.5,6.1,4.7,5.9,3.1,52,-1.2566635981890468,1.5187397067168533,8.150269401222292,62.25,7.333333333333333,282
Oceanside,California,176193,0.0545,41.3,4249,35,28,33,36.8,1,0.56,0.41,135,2705,0,41,46,49,50,56,57,62,63,55,51,47,40,11.8,7,1.6,2.3,0.3,0.2,0.1,7,0.5,1.3,3.1,3.3,61,0.03385551187120537,0.0841722800675261,8.213877514017918,51.416666666666664,3.2083333333333335,283
Cary,North Carolina,165904,0.2268,56.5,2873,26,37,17,38.8,1,0.66,0.53,116,1139,0,31,31,39,48,56,65,69,69,62,49,38,34,2.7,2.6,4.3,4.1,4.1,4.8,5.2,4.9,5.5,3.4,3.8,4.1,43,0.1200422005268239,0.2680076296810926,8.247486427894357,49.25,4.125,284
Woodbridge,New Jersey,101965,0.0239,23.3,4351,57,0,40,37,1,0.61,0.46,122,1784,0,26,24,31,46,56,64,71,67,61,54,38,33,6.3,4.9,7.3,5,9.9,8.3,8.3,7.8,4.9,6.3,5.9,5.8,53,0.2633644161390816,1.3085805035417108,8.417244305016887,47.583333333333336,6.7250000000000005,285
Edison,New Jersey,102450,0.0248,30.1,3389,52,52,0,41.3,1,0.69,0.42,125,1995,0,34,32,40,55,65,73,78,75,70,62,46,39,6.3,4.9,7.3,5,9.9,8.3,8.3,7.8,4.9,6.3,5.9,5.8,53,-0.6580295103175237,1.3085805035417108,8.445922443224578,55.75,6.7250000000000005,286
Lakewood,New Jersey,102682,0.106,24.7,4079,55,48,0,17.9,1,0.58,0.77,136,1784,9,27,27,34,44,53,62,68,65,60,49,39,32,7.3,4.2,6.4,8,6.8,9.3,12.7,10.1,7.3,8.3,6.2,8.3,40,0.40271401140536917,1.6988404417479783,8.630939411955163,46.666666666666664,7.908333333333333,287
Daly City,California,107074,0.0588,7.6,14009,63,33,0,38.8,1,0.53,0.36,175,1701,9,44,46,47,49,51,54,56,56,56,54,49,44,3.2,3.4,2.7,1.7,0.3,0.2,0,0,0.1,1,1.7,4.4,43,0.197703290873879,-0.5820403075964812,8.65437466874789,50.5,1.5583333333333333,288
Fairfield,California,116266,0.1039,40.9,2806,35,39,0,34.4,1,0.55,0.47,133,3264,0,41,44,47,49,52,56,57,57,57,53,46,40,9.3,3.6,3,1.8,0,0,0.2,0,0.1,0.6,0.8,3.3,43,0.22810098574464496,-0.45221391553222695,8.8411792527865,49.916666666666664,1.8916666666666668,289
Pasadena,California,142647,0.0403,23,6176,66,66,0,37.7,1,0.49,0.39,166,2463,0,45,46,49,52,56,60,65,65,63,57,50,44,3.3,2.5,2,0.6,0.2,0,0,0,0.2,0.5,0.6,2.1,74,-0.3018045075520726,-0.854005104540961,8.956891083159002,54.333333333333336,1,290
Frisco,Texas,177286,0.5154,67.7,2417,22,32,0,36.2,1,0.7,0.64,111,1590,12,39,42,51,58,66,75,77,78,71,60,50,40,7.1,2.6,7.1,9.9,11.4,5.8,2,1.4,0.5,14.4,8.2,6.1,54,-0.9631113800365638,1.2184083627237203,9.116302778513663,58.916666666666664,6.375,291
Naperville,Illinois,147682,0.0411,38.7,3802,35,46,21,38.5,1,0.66,0.52,126,1252,5,17,18,31,40,51,60,64,62,55,44,33,22,3.1,3,5.2,4.8,5.9,6.7,4.1,7.7,3.2,7.3,3.9,3.7,60,0.9444792684973097,0.5458016556086782,9.370944755336737,41.416666666666664,4.883333333333334,292
Vacaville,California,100032,0.0823,29,3449,36,42,0,37.1,1.1,0.54,0.47,127,2322,0,37,41,45,47,52,57,60,59,56,50,43,37,5.6,4.8,4.6,2.5,0.7,0.3,0,0,0.1,1.9,2.3,4.6,43,0.3238523518867748,-0.24474557290381785,9.474011384885653,48.666666666666664,2.283333333333333,293
San Jose,California,1035317,0.0945,177.5,5777,51,59,41,36.1,1,0.56,0.48,177,2844,2,41,44,46,48,52,56,58,58,57,53,46,41,2.5,2.5,2.1,1.3,0.3,0.2,0,0,0.1,0.6,1.3,2.4,48,0.21376074247683863,-0.8017899112850971,9.50413077232605,50,1.1083333333333334,294
Santa Clarita,California,210888,0.1961,52.8,3446,34,30,0,37.7,1,0.56,0.46,141,1587,16,45,46,47,47,53,59,65,63,61,57,53,44,19.1,5.8,3.2,3,0.6,0,0,0,28.1,5.9,1.3,4,74,-0.17735517355783417,0.8460604322694596,9.761181387110136,53.333333333333336,5.916666666666667,295
Costa Mesa,California,113825,0.0351,15.7,7186,62,64,40,34.5,1.1,0.47,0.45,166,4113,0,48,49,52,54,59,62,66,66,65,60,54,48,2.3,1.9,0.9,0.6,0.3,0,0.1,0,0.2,0.5,0.7,2.4,85,-0.5749418387981052,-0.9473212544516024,10.102516082152176,56.916666666666664,0.825,296
Stamford,Connecticut,130824,0.0667,37.6,3434,54,39,38,36.4,1,0.53,0.47,155,1750,0,23,23,30,41,50,60,66,64,57,47,37,29,3,2.6,3.5,4.2,4.2,5.1,4.4,4.2,4.3,5.1,3.1,4.5,47,0.696301375637597,0.2175332558653235,10.525564801403755,43.916666666666664,4.016666666666667,297
Corona,California,167836,0.1015,39.5,4222,38,31,18,34.4,1,0.57,0.5,135,2081,0,40,38,42,44,48,53,58,59,56,48,41,36,4.3,2.6,2.9,2.8,1.6,5.5,2.7,1.5,4.5,8.5,0.9,1.5,85,0.5291701169544046,-0.13338090641491251,10.736374362054425,46.916666666666664,3.275,298
Simi Valley,California,126878,0.0213,41.5,3044,39,44,0,40,1,0.59,0.43,149,1586,16,45,46,47,47,53,59,65,63,61,57,53,44,19.1,5.8,3.2,3,0.6,0,0,0,28.1,5.9,1.3,4,74,-0.17735517355783417,0.8460604322694596,10.775209937655584,53.333333333333336,5.916666666666667,299
Renton,Washington,101379,0.1149,23.4,4314,39,34,33,35.8,1,0.52,0.49,139,5324,0,36,37,40,43,48,53,58,58,53,47,40,36,4.7,3.2,4.5,2.9,2.1,1.6,0.5,0.9,1.8,3.9,5.7,4.5,49,0.6500221672205178,-0.029986341343646482,10.91006771376764,45.75,3.025,300
Columbia,Missouri,121717,0.1218,65,1856,30,37,0,27.4,0.9,0.42,0.48,96,3432,3,21,23,35,44,53,63,67,65,57,45,35,25,2,2.1,3,5.7,4.3,4.8,5.1,3.9,4.8,3.9,2.4,2.7,375,0.6181580060919764,0.08387696343819673,11.585084078226947,44.416666666666664,3.725,301
Torrance,California,146758,0.0091,20.5,7180,64,52,37,41.7,1,0.6,0.42,167,2355,0,48,51,54,55,59,61,66,67,63,59,56,50,8.9,7.7,2.5,3.7,1.5,0,0,0,4.9,4,2.7,3.4,74,-0.6154948416788274,0.11021900722758912,11.801056810004736,57.416666666666664,3.275,302
Santa Clara,California,127134,0.0916,18.4,6845,59,72,41,34.1,1.1,0.56,0.48,188,3005,9,41,44,46,48,52,56,58,58,57,53,46,41,2.5,2.5,2.1,1.3,0.3,0.2,0,0,0.1,0.6,1.3,2.4,48,0.21376074247683863,-0.8017899112850971,12.666139901584858,50,1.1083333333333334,303
Irvine,California,277453,0.3064,65.6,4057,44,66,27,34.5,1,0.56,0.51,179,1378,1,48,49,52,54,59,62,66,66,65,60,54,48,2.3,1.9,0.9,0.6,0.3,0,0.1,0,0.2,0.5,0.7,2.4,85,-0.5749418387981052,-0.9473212544516024,13.205503831812369,56.916666666666664,0.825,304
Temecula,California,114327,0.1422,37.3,3031,28,27,0,34.3,1,0.59,0.54,135,2370,0,39,40,44,46,53,57,60,60,57,50,43,38,4.6,3.4,1.6,1.3,0.8,0.1,0.2,0.1,0.3,1.2,1.6,3.8,85,0.2942225293963027,-0.6000138770874609,13.493436576587113,48.916666666666664,1.5833333333333333,305
Sunnyvale,California,153656,0.0969,22,6944,55,71,41,35.4,1.1,0.63,0.5,202,1849,16,42,45,47,49,53,56,59,59,57,53,47,42,2.4,2.4,2,1.3,0.3,0.2,0,0,0.1,0.7,1.3,2.6,48,0.13224637434825182,-0.8046133696717349,15.178245916879517,50.75,1.1083333333333334,306
San Mateo,California,104748,0.0776,12.1,8592,64,61,0,38.9,1,0.56,0.45,203,2277,9,44,46,47,49,51,54,56,56,56,54,49,44,3.2,3.4,2.7,1.7,0.3,0.2,0,0,0.1,1,1.7,4.4,48,0.197703290873879,-0.5820403075964812,16.35700803204495,50.5,1.5583333333333333,307
Thousand Oaks,California,128995,0.0183,55.2,2335,33,26,0,42.8,1,0.6,0.43,169,1438,0,45,44,46,48,52,57,60,60,59,54,48,43,2.1,1.9,1.4,0.7,0.2,0,0.1,0,0.1,0.4,0.7,2,48,0.0647433294342023,-0.9511010917944202,17.52811690202704,51.333333333333336,0.8,308
Bellevue,Washington,144444,0.1805,33.5,4221,40,39,38,38.2,1,0.62,0.47,176,3006,0,36,37,40,43,49,54,58,58,54,47,40,36,5.1,3.8,4.9,3.1,2.2,1.5,0.4,0.6,1.6,3.9,6.6,6.1,49,0.6182253068557345,0.12556950826046057,17.58310012052351,46,3.3166666666666664,309
Fremont,California,234962,0.0975,77.5,3008,44,49,37,37.5,1,0.66,0.53,183,2333,0,42,46,46,48,52,56,57,58,57,53,48,42,3.5,3.3,2.6,1.8,0.6,0.1,0,0,0.2,1.4,1.3,3.2,48,0.18209510581037333,-0.6239131969142413,17.765110021971605,50.416666666666664,1.5,310
Carlsbad,California,115330,0.095,37.7,3023,31,25,23,42.3,1,0.61,0.44,171,2129,0,41,46,49,50,56,57,62,63,55,51,47,40,11.8,7,1.6,2.3,0.3,0.2,0.1,7,0.5,1.3,3.1,3.3,61,0.03385551187120537,0.0841722800675261,19.067879597907798,51.416666666666664,3.2083333333333335,311
